Date,Product,ASIN,SKU,Units,Refunds,Sales,Promo,Ads,Sponsored products (PPC),Sponsored Display,Sponsored brands (HSA),Sponsored Brands Video,"Google
 ads","Facebook
 ads",% Refunds,Sellable Quota,Refund сost,Amazon fees,Cost of Goods,Gross profit,Net profit,Estimated payout,Expenses,Margin,ROI,BSR,Real ACOS,,,Tier
01 March 2023,EcoNour Car Windshield Sunshade Circle - Variation,B09BLG4G51,,211,13,"3,983.30",-62.1,-413.65,-326.68,-3.95,-14.54,-68.48,,,6.16,78.26,-198.97,"-1,887.44",-554.25,866.89,866.89,"1,378.39",,21.76,156.41,122,10.38,44986B09BLG4G51,156.41,Tier 1
01 March 2023,EcoNour Car Steering Wheel Desk,B0BTHQ6QHX,,167,19,"2,667.89",-74.8,-347.07,-308.61,-3.91,-10.12,-24.43,,,11.38,42.86,-232.52,"-1,172.17",-504.55,336.78,336.78,832.33,,12.62,66.75,329,13.01,44986B0BTHQ6QHX,66.75,Tier 1
01 March 2023,EcoNour Car Cup Coasters (2 Pack) | Push Start Button Bling (1 Pack),B09G6PG2HG,,148,2,"1,015.98",-0.68,-234.6,-217.64,-16.96,,,,,1.35,100,-12.38,-485,-251.6,31.72,31.72,281.62,,3.12,12.61,"1,085",23.09,44986B09G6PG2HG,12.61,Tier 1
01 March 2023,EcoNour Roller Sunshade (Standard & Large) - 3 Variations,B0B1DCFHKM,,121,10,"3,016.60",-78,-407.46,-292.45,-7.09,-32.95,-74.97,,,8.26,20,-255.52,"-1,173.53",-565.4,536.69,536.69,"1,098.09",,17.79,94.92,273,13.51,44986B0B1DCFHKM,94.92,Tier 1
01 March 2023,EcoNour Foldable 2-Piece Premium Car Windshield Sunshade with 5 Variation,B08XFCDLRM,,68,2,"1,304.33",-14.4,-228.7,-186.77,-5.97,-1.79,-34.17,,,2.94,25,-25.99,-736.55,-204.57,94.12,94.12,295.77,,7.22,46.01,"1,232",17.53,44986B08XFCDLRM,46.01,Tier 1
01 March 2023,"EcoNour Car Windshield Snow Cover for Ice, Snow, Frost and Wiper Protector - 6 Variations",B0BQF8CGQ2,,56,2,"1,693.44",-96,-107.38,-89.65,-1.98,-7.33,-8.42,,,3.57,90,9.97,-350.28,-385.65,764.1,764.1,"1,090.98",,45.12,198.13,"2,813",6.34,44986B0BQF8CGQ2,198.13,Tier 1
01 March 2023,EcoNour Rear Window Sunshade Breathable Mesh - Variations,B09X1MHYDN,,53,3,"1,053.83",-40,-245.9,-217.07,-21.88,-6.95,,,,5.66,-,-43.82,-385.62,-193.9,144.59,144.59,338.49,,13.72,74.57,"2,036",23.33,44986B09X1MHYDN,74.57,Tier 1
01 March 2023,EcoNour Car Seat Gap Filler Organizer With Cup Holder (2 Pack) | Multifunctional Car Seat Organizer | Car Organizer Between Seats | Console Pocket for Wallet & Keys | Front Seat Gap Accessories,B08ZYBP2HZ,EcoSeatGapOrganizer,45,3,989.01,-25.3,-200.08,-181.92,,-3.61,-14.55,,,6.67,100,-56.85,-386.19,-202.5,118.09,118.09,316.09,,11.94,58.32,"2,620",20.23,44986B08ZYBP2HZ,58.32,Tier 1
01 March 2023,"EcoNour 27"" Aluminum Car Snow Scraper and Brush Variation",B0BSV7DZRR,,42,,855.58,-36,-234.55,-210.34,-2.06,,-22.15,,,,-,,-336.3,-214,34.73,34.73,248.73,,4.06,16.23,"2,975",27.41,44986B0BSV7DZRR,16.23,Tier 1
01 March 2023,EcoNour Car Trash Bag (2022 Updated) | Car Can Waterproof Bag | Compact Car Garbage Bin and Foldable Hanging Trash Can | Multipurpose Portable Trash Bin Car Accessories,B079DX2XSR,ECOTRASHBAG,35,,454.65,-14,-67.19,-46.42,-0.09,-1.43,-19.25,,,,,,-211.42,-105,57.04,57.04,162.04,,12.55,54.32,"4,369",14.78,44986B079DX2XSR,54.32,Tier 1
01 March 2023,EcoNour Car Snow Brush Variation,B0BSV5X97M,,32,,459.68,-10,-213.86,-145.66,-11.64,-2.37,-54.19,,,,100,5.6,-211.64,-99,-69.22,-69.22,24.18,,-15.06,-69.92,"4,320",46.52,44986B0BSV5X97M,-69.92,Tier 1
01 March 2023,EcoNour Umbrella Sunshade for Car | Reflects UV Rays and Protects Dashboard from Sun | Heat Insulation Protection for Car Windshield | Foldable Automotive Windshield Sunshade,B0BSV7NTJK,,31,4,717.81,-54,-305.14,-284.64,,-20.5,,,,12.9,50,-49.15,-348.94,-175.54,-214.96,-214.96,-44.92,,-29.95,-122.46,"3,530",42.51,44986B0BSV7NTJK,-122.46,Tier 1
01 March 2023,EcoNour Gap Filler for Car-Parent,B0B699DK48,,25,2,451.75,,-92.99,-92.99,,,,,,8,100,-25.95,-186.99,-99.13,46.69,46.69,141.82,,10.34,47.1,"7,134",20.58,44986B0B699DK48,47.1,Tier 2
01 March 2023,EcoNour Car Shades for Side Windows,B0BTDJF3G5,,21,,302.53,-7,-111.21,-105.05,-0.87,-5.29,,,,,33.33,3,-144.43,-63,-20.11,-20.11,39.89,,-6.65,-31.92,"5,530",36.76,44986B0BTDJF3G5,-31.92,Tier 1
01 March 2023,"EcoNour Car Trash Can (2 Pack) | Car Trash Bag Hanging with Elastic Opening & Easy Mount | Auto Garbage Can with Waterproof Oxford Material | Car Can Accessories for Home , Traveling & Outdoor",B08T75TJYY,EcoTubeTrashbag,20,1,279.8,-6.3,-73.46,-64.93,-0.1,-0.87,-7.56,,,5,,-12.02,-125.99,-46,16.03,16.03,62.03,,5.73,34.85,"4,025",26.25,44986B08T75TJYY,34.85,Tier 1
01 March 2023,EcoNour Rear Window Sunshade with Dual Suction Cup | Protection from Sunlight and UV Rays - 2 Variations,B08ZD8C8X7,,18,,211.69,-8,-46.18,-45.62,-0.13,,-0.43,,,,100,1.92,-126.62,-34.04,-1.23,-1.23,30.89,,-0.58,-3.61,"15,665",21.81,44986B08ZD8C8X7,-3.61,Tier 2
01 March 2023,EcoNour Trunk Organizer for Car | Storage Organizer With Detachable Dividers for SUV | Collapsible Multi Compartment Groceries Organizer with Adjustable Straps | Car & Truck Accessories,B079KZRN36,ECOAUTOORGANIZERBLK,14,,349.86,-21,-56.26,-56.26,,,,,,,100,20,-128.29,-140,24.31,24.31,144.31,,6.95,17.36,"8,942",16.08,44986B079KZRN36,17.36,Tier 3
01 March 2023,"EcoNour Baby Window Shades for Car Side Windows (20""x12"") (4 Pack) with Bonus Headrest Hooks | Car Side Window Sun Shade for Kids with Total Sun Glare & UV Protection | Car Travel Baby Accessories",B0B6HRLLG3,ECOWCLHK,14,,139.86,-3,-73.92,-73.92,,,,,,,-,,-81.68,-28,-46.74,-46.74,-18.74,,-33.42,-166.93,"15,218",52.85,44986B0B6HRLLG3,-166.93,Tier 2
01 March 2023,"EcoNour 3-in-1 Steering Wheel Tray with Car Seat Gap Filler Organizer (1 Pack) | Food Tray for Eating in Car | Laptop Desk, iPad Holder and Storage Box in-Between Seat Organizer | Car Accessories",B0BDZLXK7Q,Eco2in1DeskTray,13,4,233.87,-7.2,-41.41,-41.41,,,,,,30.77,100,-57.31,-121.32,-68.9,-62.27,-62.27,1.33,,-26.63,-90.38,"14,380",17.71,44986B0BDZLXK7Q,-90.38,Tier 2
01 March 2023,"EcoNour Car Sun Visor Extender | One Pull Down Sunshade and One Side Shade Sun Block Piece for Protection from Sun Glare, UV Rays, Snow Blindness | Universal Fit Visor Extender for Most Cars",B086RL7179,ECOSunVisorExtender02,12,,203.88,-4.25,-27.19,-27.19,,,,,,,,,-91.89,-60,20.55,20.55,80.55,,10.08,34.25,"27,738",13.34,44986B086RL7179,34.25,Tier 2
01 March 2023,EcoNour Magnetic Shades -Parent2,B0B5HFLZJ5,,12,,206.89,-6.9,-36.58,-36.58,,,,,,,-,,-79.96,-52.6,30.85,30.85,83.45,,14.91,58.65,"20,917",17.68,44986B0B5HFLZJ5,58.65,Tier 2
01 March 2023,EcoNour Tissue Holder - 3 Variations,B09SDB2BTW,,11,1,127.89,,-26.83,-26.83,,,,,,9.09,100,-6.64,-67.67,-39.2,-12.45,-12.45,22.55,,-9.73,-31.76,"17,149",20.98,44986B09SDB2BTW,-31.76,Tier 2
01 March 2023,EcoNour Side Magnetic Sunshade (Black & Blue) - 6 Variations,B09ZDMNDH5,,10,2,161.8,-6.84,-39.9,-39.9,,,,,,20,-,-26.42,-81.69,-41.6,-34.65,-34.65,6.95,,-21.42,-83.29,"20,650",24.66,44986B09ZDMNDH5,-83.29,Tier 2
01 March 2023,EcoNour Car Magnetic Stretch to Fit Sun Shade Variation,B0BR3DJHKN,,10,,217.9,-3,-44.29,-43.75,-0.54,,,,,,-,,-55.89,-101.6,13.12,13.12,114.72,,6.02,12.91,"22,354",20.33,44986B0BR3DJHKN,12.91,Tier 2
01 March 2023,EcoNour Baby Seat Back Kickmat for Car,B0BVG7JQWD,,10,3,193.45,-6.8,-83.32,-83.32,,,,,,30,,-39.03,-111.07,-45.62,-92.39,-92.39,-46.77,,-47.76,-202.52,"5,468",43.07,44986B0BVG7JQWD,-202.52,Tier 3
01 March 2023,EcoNour Polarized Sun Visor Extender for Car | Anti-Glare Car Visor Extension for Sun Blocker | Protects from UV Rays | Sunshade Visor Extender for Automotive Interior Sun Protection Accessories,B086RKR6ZX,ECOSunVisorExtender01,9,1,159.37,-6,-72.82,-40.51,,,-32.31,,,11.11,,-18.07,-46.65,-58.5,-42.67,-42.67,15.83,,-26.77,-72.94,"12,080",45.69,44986B086RKR6ZX,-72.94,Tier 2
01 March 2023,"EcoNour Car Windshield Sunshade | Foldable Reflector Umbrella Sunshade for Cars, Blocks UV Rays Sun Visor Protector Sunshade to Keep Your Vehicle Cool and Damage Free (Medium 54 inches x 29 inches)",B08P3GM39C,EcoUmberlaSS-Medium,9,,179.91,-12,-60.74,-51.5,,-9.24,,,,,-,,-67.95,-54,-14.78,-14.78,39.22,,-8.22,-27.37,"19,796",33.76,44986B08P3GM39C,-27.37,Tier 1
01 March 2023,"EcoNour Semi-Truck Sun Shade for Windshield and Side Windows | 240T UV Protective Sunshade for Truck Windshield Maximum Coverage to Block UV/Sun Heat Rays | Best for Semi, Commercial & Big Rig Truck",B0953VSDL7,EcoTruckShade,9,,255.92,-8,-47.12,-46.58,-0.2,-0.34,,,,,,,-220.42,-20.1,-39.72,-39.72,-19.62,,-15.52,-197.61,"9,824",18.41,44986B0953VSDL7,-197.61,Tier 1
01 March 2023,EcoNour Carbon Umbrella Sunshade for Car | Reflects UV Rays and Protects Dashboard from Sun | Heat Insulation Protection for Car Windshield | Foldable Automotive Windshield Sunshade (57x31 Inches),B09Q3K1R47,ECOUMB3CFLARGE,8,1,183.92,-41.4,-92.38,-82.52,-0.39,-9.47,,,,12.5,66.67,-9.78,-54.38,-44,-58.02,-58.02,-25.02,,-31.55,-131.86,"19,108",50.23,44986B09Q3K1R47,-131.86,Tier 1
01 March 2023,EcoNour Car Windshield Sunshade for Tesla - Parent,B0B12F7HHW,,8,1,183.72,-10,-143.34,-131.13,-1.49,-2.85,-7.87,,,12.5,100,-16.68,-65.65,-25.6,-77.55,-77.55,-55.15,,-42.21,-302.93,"17,667",78.02,44986B0B12F7HHW,-302.93,Tier 1
01 March 2023,EcoNour Car Window Screens with Bonus Car Headrest Hooks,B0BB7CT5B2,,8,,107.92,-0.65,-45.77,-45.77,,,,,,,-,,-45.44,-36,-19.94,-19.94,16.06,,-18.48,-55.39,"22,352",42.41,44986B0BB7CT5B2,-55.39,Tier 2
01 March 2023,EcoNour Accordion Sunshades V02 - Parent,B0BV65TKSZ,,8,1,248.92,,-29.14,-27.62,-0.22,-1.3,,,,12.5,100,-21.11,-87.52,-52.42,58.73,58.73,105.15,,23.59,112.04,"10,193",11.71,44986B0BV65TKSZ,112.04,Tier 1
01 March 2023,EcoNour Baby Side Window Shade - 2 Variations,B0915SLHTT,,7,,85.93,-0.7,-39.38,-39.38,,,,,,,-,,-72.5,-17.16,-43.81,-43.81,-26.65,,-50.98,-255.3,"11,619",45.83,44986B0915SLHTT,-255.3,Tier 2
01 March 2023,"EcoNour Foldable car organizer for front, back seat, truck & Van, Store – Baby Supplies, kids Toys, Cleaning Accessories, work tools, Travel Passenger seat console organizer with 8 Compartments | Tray",B094XZ1Z9X,EcoSeatOrg,7,,132.93,,-18.24,-17.35,-0.89,,,,,,100,5.79,-53.13,-40.53,26.82,26.82,61.56,,20.18,66.17,"17,017",13.72,44986B094XZ1Z9X,66.17,Tier 3
01 March 2023,"EcoNour Car Cup Holder Expander for 32/40 oz Hydro Flask, 40 oz 50/50 Flask, Coffee Mugs, and Large Bottles | Cup Holder Extender for Drinks Adapts Most Regular CupHolder | Car Cup Holder Accessories",B097BR3QJW,EcoSmartCupHolder,6,1,89.94,-3,-55.74,-55.7,,-0.04,,,,16.67,-,-14.45,-27.18,-18,-28.43,-28.43,-10.43,,-31.61,-157.94,"11,197",61.97,44986B097BR3QJW,-157.94,Tier 3
01 March 2023,"EcoNour Car Trash Can with Lid (2 Pack) - Diamond Design Cup Holder Trash Can for Car - Mini Portable Leakproof Vehicle Garbage Bin for Automotive Car, Home, Office, Kitchen, Bedroom",B098Q4589Q,ECOTC1BLK2P,6,,125.94,-3.15,-0.4,,,-0.4,,,,,-,,-56.07,-33,33.32,33.32,66.32,,26.46,100.97,"41,299",0.32,44986B098Q4589Q,100.97,Tier 3
01 March 2023,EcoNour Magnetic Windshield Snow Cover,B0BP1SD2W6,,6,,136.07,,-10.83,-10.83,,,,,,,100,5,-44.86,-31.5,53.88,53.88,80.38,,39.6,171.05,"1,21,321",7.96,44986B0BP1SD2W6,171.05,Tier 2
01 March 2023,EcoNour Roller Printed Sunshade for Car - Multiple Variations,B0B97H5LVH,,4,,79.96,-4,-14.37,-14.37,,,,,,,-,,-27.76,-30.24,3.59,3.59,33.83,,4.49,11.87,"48,775",17.97,44986B0B97H5LVH,11.87,Tier 3
01 March 2023,EcoNour Car Side Window Sun Shade Car Headrest Hook,B0BB7HGBRP,,4,,106.96,-1.45,-52.12,-52.12,,,,,,,-,,-48.42,-22,-17.03,-17.03,4.97,,-15.92,-77.41,"30,644",48.73,44986B0BB7HGBRP,-77.41,Tier 2
01 March 2023,EcoNour Side Mirror Covers and Windshield Snow Covers Variation,B0BQFF2LKS,,4,,139.15,,-33.12,-31.6,-1.51,-0.01,,,,,100,8.2,-40.26,-27.4,46.57,46.57,65.77,,33.47,169.96,"46,969",23.8,44986B0BQFF2LKS,169.96,Tier 2
01 March 2023,"EcoNour Waterproof Car Seat Cover with Belt Shoulder Pad | Sweat Proof Seat Covers for Cars, Trucks, Vans, & SUVs | Sweat Towel for Car Seat Ideal for Gym, Yoga, Post Workout, Running, and Swimming",B08T75SX8M,EcoSweatTowel,3,,59.97,,-16.29,-16.29,,,,,,,-,,-26.1,-20.55,-2.97,-2.97,17.58,,-4.95,-14.45,"35,331",27.16,44986B08T75SX8M,-14.45,Tier 3
01 March 2023,EcoNour Push Start Button Rings - Three Variations,B09CTRVB86,,3,,23.97,-1.2,-2.5,-2.5,,,,,,,-,,-9.99,-4.74,5.54,5.54,10.28,,23.11,116.88,"59,519",10.43,44986B09CTRVB86,116.88,Tier 2
01 March 2023,EcoNour RV Sunshade with 2 Variations,B09Y975XB7,,3,,41.97,-1.4,-37.57,-37.57,,,,,,,-,,-21.66,-12,-30.66,-30.66,-18.66,,-73.05,-255.5,"77,024",89.52,44986B09Y975XB7,-255.5,Tier 2
01 March 2023,EcoNour American Flag for Outdoor-Parent,B0BNDFWMDD,,3,2,91.47,-2.25,-37.82,-25.5,,,-12.32,,,66.67,-,-38.7,-29.31,-19,-35.61,-35.61,-16.61,,-38.93,-187.42,"89,319",41.35,44986B0BNDFWMDD,-187.42,Tier 3
01 March 2023,EcoNour Front and Rear Snow Cover-Parent,B0BPH5TM5N,,3,,95.67,,-11.3,-8.16,-3.05,-0.09,,,,,,,123.81,-62,146.18,146.18,208.18,,152.8,235.77,"1,83,879",11.81,44986B0BPH5TM5N,235.77,Tier 2
01 March 2023,EcoNour Accordion Sunshades V 01 - Parent,B0BV65C7Y5,,3,,93.97,,-20.72,-20.72,,,,,,,-,,-43.83,-18,11.42,11.42,29.42,,12.15,63.44,"72,686",22.05,44986B0BV65C7Y5,63.44,Tier 1
01 March 2023,EcoNour Tire Valve Stem Caps for Car-Parent,B0BV6JDRS3,,3,1,20.97,-0.35,-12.79,-12.79,,,,,,33.33,100,-4.41,-9.74,-3,-9.32,-9.32,-7.32,,-44.44,-310.67,"67,371",60.99,44986B0BV6JDRS3,-310.67,Tier 3
01 March 2023,EcoNour Car Trash Can with Lid & Storage Pockets | Waterproof Garbage Bag for Car with 2.5 Gallons | Hanging Car Organizer with Removable Inner Can | Multipurpose Bag | Black,B0953R1ZV1,EcoDetachCan,2,,37.98,-1.9,-11.54,-11.41,-0.13,,,,,,100,4.8,-15.53,-9.6,4.21,4.21,9.01,,11.08,43.85,"1,81,236",30.38,44986B0953R1ZV1,43.85,Tier 3
01 March 2023,EcoNour Anti-Glare Tuc Visor Car Sun Shade | Side Automotive Window Sunshade for Cars | Blackout Window Sunshade Made of Semi-Rigid Material for Drivers | Reduce Heat Exposure & UV Rays (2 Pack),B09TZTJ3P9,EcoTucVisor,2,,49.98,,,,,,,,,,-,,-14.3,-14,21.68,21.68,35.68,,43.38,154.86,"3,90,309",,44986B09TZTJ3P9,154.86,Tier 3
