Product,ASIN,Tier,Manager,Team Name,Team Member
Circle Sunshade,B09BLG4G51,Tier 1,Murugan,Team1,A
Steering Wheel Desk,B0BTHQ6QHX,Tier 1,Murugan,Team1,A
Bling Coaster & Ring black,B09G6PG2HG,Tier 1,Murugan,Team1,A
Rollershade,B0B1DCFHKM,Tier 1,Murugan,Team1,A
Square Sunshade,B08XFCDLRM,Tier 1,Murugan,Team1,A
Snow Cover,B0BQF8CGQ2,Tier 1,Murugan,Team1,A
WindowSox,B09X1MHYDN,Tier 1,Murugan,Team1,A
Gapfillercupholder,B08ZYBP2HZ,Tier 1,Murugan,Team2,B
"27"" Aluminum Snow Scraper and Brush ",B0BSV7DZRR,Tier 1,Murugan,Team2,B
TRASH BAG-Small,B079DX2XSR,Tier 1,Murugan,Team2,B
Snow Brush,B0BSV5X97M,Tier 1,Murugan,Team2,B
Umbrella Sunshade New,B0BSV7NTJK,Tier 1,Murugan,Team2,B
Shades Side Windows,B0BTDJF3G5,Tier 1,Murugan,Team2,B
TUBE TRASH,B08T75TJYY,Tier 1,sreekesh,Team3,C
Umbrella Sunshade Old - Medium,B08P3GM39C,Tier 1,sreekesh,Team3,C
Semi Truck Sunshade,B0953VSDL7,Tier 1,sreekesh,Team3,C
 Carbon Umbrella Sunshade,B09Q3K1R47,Tier 1,sreekesh,Team3,C
Tesla Sunshade,B0B12F7HHW,Tier 1,sreekesh,Team3,C
Accordion Sunshade,B0BV65TKSZ,Tier 1,sreekesh,Team3,C
Accordion Sunshade - Large,B0BV65C7Y5,Tier 1,sreekesh,Team3,C
Umbrella Sunshade Old - Large,B08CZSLFNW,Tier 1,sreekesh,Team3,C
8 Ribs Umbrella Sunshade,B09TR2B2NQ,Tier 1,sreekesh,Team3,C
Tacomo Sunshade,B09XMG57L3,Tier 1,sreekesh,Team3,C
Steering Wheel Desk,B0BV78CK9Z,Tier 1,sreekesh,Team3,C
Tesla Model 3 Sunshade,B09XK76JGT,Tier 1,sreekesh,Team3,C
Gap filler,B0B699DK48,Tier 2,sreekesh,Team3,C
Rearshade,B08ZD8C8X7,Tier 2,sreekesh,Team3,C
Cling+Hook,B0B6HRLLG3,Tier 2,sreekesh,Team4,D
Smartdesk,B0BDZLXK7Q,Tier 2,sreekesh,Team4,D
Sun Visor Extender,B086RL7179,Tier 2,sreekesh,Team4,D
Suction Magnet,B0B5HFLZJ5,Tier 2,sreekesh,Team4,D
Tissue Holder,B09SDB2BTW,Tier 2,sreekesh,Team4,D
B&B,B09ZDMNDH5,Tier 2,sreekesh,Team4,D
Magnetic Stretch to Fit Sun Shade ,B0BR3DJHKN,Tier 2,sreekesh,Team4,E
Polarized Sun Visor Extender ,B086RKR6ZX,Tier 2,sreekesh,Team4,E
Sox+Hook,B0BB7CT5B2,Tier 2,sreekesh,Team4,E
ClingBaby,B0915SLHTT,Tier 2,sreekesh,Team4,E
Magnetic Sun Shade,B0BP1SD2W6,Tier 2,sreekesh,Team4,E
Roller+Hook,B0BB7HGBRP,Tier 2,sreekesh,Team4,E
Snowsm,B0BQFF2LKS,Tier 2,sreekesh,Team5,F
Push to Start Button,B09CTRVB86,Tier 2,sreekesh,Team5,F
RVShade,B09Y975XB7,Tier 2,sreekesh,Team5,F
Rear Snow cover + Front Snow Cover,B0BPH5TM5N,Tier 2,sreekesh,Team5,F
Semi Truck Printed Sunshade,B09WMJZLDW,Tier 2,sreekesh,Team5,F
Corolla Sunshade,B09XMD1FK2,Tier 2,sreekesh,Team5,F
TRASH BAG-Large,B09ZLKPRGN,Tier 2,Dhivya,Team6,E
SCRAPER OLD,B0BSS4Q7V7,Tier 2,Dhivya,Team6,E
Tube Trash Can ,B0BTZ1748R,Tier 2,Dhivya,Team6,E
Sunroofn 2 packs rear side,B08SW6NCBF,Tier 2,Dhivya,Team6,E
Trash Bag,B08SW9262W,Tier 2,Dhivya,Team6,E
Honda Civic Sunshade,B09TZVGJ4W,Tier 2,Dhivya,Team6,E
Subaru Sunshade,B09XMHJZ5H,Tier 2,Dhivya,Team6,E
Magnetic Snow Cover - Pevasm,B0BQFJ464V,Tier 2,Dhivya,Team6,E
"27"" Aluminum Snow Scraper and Brush with Snow Cover ",B0BQFJVLVH,Tier 2,Dhivya,Team6,E
BabySeatCover,B08VDWSC6Z,Tier 2,Dhivya,Team6,E
Tesla Model Y Roof Sunshade,B09MWG3359,Tier 2,Dhivya,Team7,F
Circle - Flag Printed,B09V86WSDW,Tier 2,Dhivya,Team7,F
Printed Sunshade,B09WN3ZT5D,Tier 2,Dhivya,Team7,F
Cup Coasters Black (2 Pack),B09X5KP7L3,Tier 2,Dhivya,Team7,F
Cup Coasters Black (4 Pack),B09X5N7G1S,Tier 2,Dhivya,Team7,F
Chevrolet Sunshade,B09XMH65PK,Tier 2,Dhivya,Team7,F
Side Mirror Cover,B0B5H6XCTY,Tier 2,Dhivya,Team7,F
Magnetic snowcover + SideMirror +Wipercover,B0BHWN23VK,Tier 2,Dhivya,Team7,G
Frost Snow Cover,B0BQFDVFQB,Tier 2,Dhivya,Team7,G
Accordion Sunshade + Headrest hooks,B0B6HSYQF7,Tier 2,Dhivya,Team7,G
Window Shades Side Windows (4 Pack),B08RZBGGXX,Tier 2,Dhivya,Team7,G
Tesla Model 3 Roof Sunshade Front and Rear,B09MWF9J2Z,Tier 2,Dhivya,Team7,G
Semi Snow Cover,B0BJK8Y31K,Tier 2,Dhivya,Team7,G
Umbrella Sunshade,B08DKTF31K,Tier 2,Dhivya,Team7,G
Black Cup Coasters (2 Pack),B09X5NTGFZ,Tier 2,Dhivya,Team7,G
